gene	log2fc	padj
GENE0063	0.0048	0.0745156
GENE0064	2.0485	0.000894253
GENE0065	-1.9549	1.12582e-06
GENE0066	2.6186	5.38244e-06
GENE0067	-2.5214	0.00557842
GENE0068	2.3003	0.0343985
GENE0069	1.0686	2.71734e-05
GENE0070	-1.8723	0.000493577
GENE0071	0.2931	0.0579333
GENE0072	-0.9165	0.00845881
GENE0073	0.4806	0.0283875
GENE0074	0.3917	0.0980738
GENE0075	1.2359	0.0178372
GENE0076	-1.6759	2.14389e-05
GENE0077	0.6868	0.000254913
GENE0078	-1.0504	0.0002804
GENE0079	1.7001	0.000235183
GENE0080	1.9111	0.000274726
GENE0081	0.9139	0.0672048
GENE0082	0.3656	0.000320879
GENE0083	-0.4439	0.0200284
GENE0084	0.1781	0.0765952
GENE0085	0.7791	0.0106335
GENE0086	-2.5899	0.0425171
GENE0087	0.4491	0.000131449
GENE0088	1.3066	0.00321911
GENE0089	0.9114	0.00475729
GENE0090	-0.2942	0.0938149
GENE0091	-2.2245	9.38201e-06
GENE0092	-1.1179	0.0551276
GENE0093	0.7844	0.000382295
GENE0094	0.6005	0.00316783
GENE0095	1.5226	0.00060198
GENE0096	0.0041	0.00385592
GENE0097	3.3990	0.0550449
GENE0098	-0.4594	0.0997133
GENE0099	-0.1503	0.048852
GENE0100	3.3614	0.051881
GENE0101	-0.6632	7.65042e-05
GENE0102	-1.0360	0.00258674
GENE0103	0.0937	1.18206e-06
GENE0104	-3.1575	0.000494668
GENE0105	3.0037	0.0377938
GENE0106	-1.5107	0.0839894
GENE0107	0.4388	0.0981816
GENE0108	-2.2429	5.7418e-05
GENE0109	-0.8198	0.000775026
GENE0110	1.9356	0.00864217
GENE0111	-0.3855	0.0313004
GENE0112	1.8603	0.00639374
GENE0113	0.6985	0.052872
GENE0114	2.0973	4.11888e-06
GENE0115	3.1898	0.000119238
GENE0116	-1.8603	0.00030604
GENE0117	-1.2649	2.06577e-05
GENE0118	0.8703	0.0124929
GENE0119	-0.7173	0.0147175
GENE0120	-1.7355	0.00746939
GENE0121	0.9651	0.0763309
GENE0122	0.6748	0.000324569
GENE0123	2.2830	0.00245381
GENE0124	-0.5985	0.00099936
GENE0125	-1.1166	0.0319564
GENE0126	1.4913	0.0993832
GENE0127	0.7311	0.0984477
GENE0128	0.9305	0.000494649
GENE0129	0.4614	0.0758594
GENE0130	2.2599	0.0018646
GENE0131	-2.0992	6.19217e-05
GENE0132	1.1748	0.0139988
GENE0133	-2.0227	0.0949902
GENE0134	-0.1067	0.0445769
GENE0135	-0.1548	0.000803311
GENE0136	-1.8364	3.25229e-05
GENE0137	-3.0346	1.77523e-05
GENE0138	1.4895	0.000550172
GENE0139	1.1862	0.0133824
GENE0140	-0.2046	0.0161811
GENE0141	-0.9913	0.000485635
GENE0142	-3.2486	0.0512501
GENE0143	0.2345	7.25735e-06
GENE0144	-1.0708	1.58053e-11
GENE0145	0.5577	0.0353579
GENE0146	-0.7615	0.0301866
GENE0147	-0.8872	0.00926297
GENE0148	-0.1879	3.20542e-06
GENE0149	0.0918	0.0608208
GENE0150	1.5510	0.048518
GENE0151	-1.0694	0.0115136
GENE0152	0.4679	0.000902941
GENE0153	0.6281	0.0653135
GENE0154	0.8511	0.065297
GENE0155	-2.8541	0.000194765
GENE0156	0.0021	0.0370371
GENE0157	0.6986	0.0611046
GENE0158	-1.7375	5.70576e-05
GENE0159	1.1589	0.0747669
GENE0160	2.7048	0.043211
GENE0161	-3.0833	0.0603565
GENE0162	2.4204	0.00121765
GENE0163	0.3800	0.0750681
GENE0164	0.9660	0.0432062
GENE0165	-2.8367	0.000506735
GENE0166	0.1669	0.0578626
GENE0167	-0.6978	0.0543438
GENE0168	0.4761	0.00448927
GENE0169	2.7213	0.000867533
GENE0170	0.3030	3.13606e-08
GENE0171	-1.0346	0.000139122
GENE0172	-1.4157	0.087399
GENE0173	2.6430	0.000607009
GENE0174	-0.9550	0.0926704
GENE0175	-1.1765	0.0082672
GENE0176	0.6892	0.0886756
GENE0177	-0.2767	0.000101675
GENE0178	1.1458	1.38089e-05
GENE0179	-0.2748	0.00356627
GENE0180	-0.1749	0.0135048
GENE0181	-1.2897	0.00684103
GENE0182	-1.4767	0.000420988
GENE0183	1.2987	0.0252382
GENE0184	3.4190	0.00840597
GENE0185	0.0363	0.0267889
GENE0186	-0.1130	0.0017598
GENE0187	-2.2327	2.39741e-06
GENE0188	-0.6891	0.000971073
GENE0189	-1.1526	0.0517148
GENE0190	-0.2395	0.000915026
GENE0191	-1.2449	0.00278172
GENE0192	-1.0270	2.62511e-05
GENE0193	0.7228	0.00312494
GENE0194	2.0995	0.0664319
GENE0195	-0.8257	0.0143534
GENE0196	-0.5948	2.71548e-15
GENE0197	1.7941	0.00067765
GENE0198	-1.7871	0.0183732
GENE0199	0.8425	0.00467485
GENE0200	-0.9722	0.00501335
GENE0201	0.3697	0.065955
GENE0202	0.2609	5.17002e-06
GENE0203	-0.8768	0.00705916
GENE0204	-0.9094	0.0448655
GENE0205	-1.0050	0.0318331
GENE0206	-0.4989	0.000157234
GENE0207	-0.9466	3.55931e-08
GENE0208	0.0552	0.0521362
GENE0209	1.7023	2.81319e-06
GENE0210	-1.8163	0.000142922
GENE0211	1.0828	0.0235137
GENE0212	-1.1212	0.0185255
GENE0213	0.0396	9.45256e-11
GENE0214	0.0156	1.29069e-05
GENE0215	-2.5718	0.00326703
GENE0216	1.6957	0.00719743
GENE0217	3.3744	6.35991e-07
GENE0218	0.0147	0.00434128
GENE0219	2.9133	0.0412509
GENE0220	-2.2062	0.0125715
GENE0221	-3.8724	0.0814642
GENE0222	1.6035	0.0267656
GENE0223	-1.3025	0.00649235
GENE0224	0.9164	0.0647997
GENE0225	-1.6529	0.0305835
GENE0226	-1.1472	0.000373657
GENE0227	0.1841	0.0165333
GENE0228	0.1806	0.0154303
GENE0229	-1.8118	0.000568573
GENE0230	1.0876	0.000545074
GENE0231	0.5757	0.00104477
GENE0232	-0.7927	0.000286031
GENE0233	-0.2044	0.0231906
GENE0234	-0.1478	0.00276016
GENE0235	-0.5262	0.00866872
GENE0236	-0.8815	0.00311595
GENE0237	0.5155	0.0670323
GENE0238	-1.9979	0.0538741
GENE0239	-1.1660	0.0343554
GENE0240	-0.1192	0.00153102
GENE0241	0.1114	0.0322311
GENE0242	2.2482	0.00308279
GENE0243	-2.9574	0.0312235
GENE0244	-1.9545	0.000236559
GENE0245	-0.5830	0.000231802
GENE0246	-0.3349	0.00127652
GENE0247	0.1428	0.0212737
GENE0248	-0.7430	0.0047722
GENE0249	0.5096	2.65327e-05
GENE0250	-0.2522	0.00241032
GENE0251	-0.2437	0.0101467
GENE0252	2.1211	3.39088e-05
GENE0253	0.3647	0.00454395
GENE0254	1.3920	0.000200705
GENE0255	0.4550	0.00114123
GENE0256	0.1032	0.0319811
GENE0257	-1.4609	0.0479
GENE0258	-0.0089	1.41159e-08
GENE0259	0.6201	0.00846652
GENE0260	1.3922	0.0178665
GENE0261	-0.0008	0.0372497
GENE0262	-1.4546	0.0813176
GENE0263	-2.0492	0.000157964
GENE0264	0.8555	2.5382e-05
GENE0265	0.1101	0.0200861
GENE0266	-0.9680	0.0239367
GENE0267	-0.4115	0.03459
GENE0268	1.0128	0.031292
GENE0269	1.7832	1.72076e-05
GENE0270	1.6364	1.36547e-05
GENE0271	-3.5174	4.34784e-08
GENE0272	-0.8563	0.0842899
GENE0273	2.0874	0.00247542
GENE0274	-0.1300	0.022748
GENE0275	-0.5820	0.015479
GENE0276	2.0699	0.0522727
GENE0277	1.5420	0.0129956
GENE0278	3.1213	0.0375178
GENE0279	2.9702	0.00145324
GENE0280	-1.2996	0.00655341
GENE0281	0.6278	0.0013558
GENE0282	1.6330	1.24065e-05
GENE0283	-2.2602	0.0852137
GENE0284	-1.8556	0.0250286
GENE0285	-2.1205	0.00359668
GENE0286	-0.3956	0.00053209
GENE0287	-3.8718	0.0426652
GENE0288	-1.6749	0.00359956
GENE0289	-0.4096	0.0285583
GENE0290	-0.3380	0.0476257
GENE0291	2.9111	5.6407e-06
GENE0292	0.8254	0.00466361
GENE0293	-0.7593	0.013876
GENE0294	-0.2623	0.0524351
GENE0295	0.2495	0.000109334
GENE0296	0.6324	0.00134167
GENE0297	2.6065	0.0600568
GENE0298	-0.3642	1.06183e-09
GENE0299	-1.1499	0.0807882
GENE0300	2.0556	0.00569817
GENE0301	1.2264	0.0330411
GENE0302	-0.7880	0.00580355
GENE0303	-2.0127	0.0395317
GENE0304	0.8854	0.0229029
GENE0305	0.5860	0.000879134
GENE0306	-1.4803	0.00794553
GENE0307	-0.8327	0.00327804
GENE0308	-0.0343	0.0244041
GENE0309	-1.3440	0.000538693
GENE0310	-0.0067	0.000137557
GENE0311	0.7606	2.04299e-05
GENE0312	-2.4780	0.000117515
GENE0313	-0.5680	0.000219233
GENE0314	-2.3970	0.0909661
GENE0315	0.2388	0.00757592
GENE0316	-0.1421	0.000141991
GENE0317	0.6757	0.000267792
GENE0318	0.1086	0.00813963
GENE0319	0.2287	0.000566207
GENE0320	1.8797	0.0236576
GENE0321	-0.3063	2.54291e-05
GENE0322	1.1808	0.0580095
GENE0323	-1.2820	0.0108603
GENE0324	-1.5867	0.000115532
GENE0325	0.3089	6.96731e-07
GENE0326	1.5938	0.0456806
GENE0327	-0.6187	0.00257816
GENE0328	1.8888	8.25949e-07
GENE0329	0.9487	4.95504e-05
GENE0330	-1.1784	0.0975894
GENE0331	-0.4911	1.96863e-05
GENE0332	0.1856	0.0390964
GENE0333	-2.0397	0.000259434
GENE0334	-1.6250	0.00384167
GENE0335	-0.2320	0.0547432
GENE0336	1.2780	0.0148745
GENE0337	-0.0802	0.0138124
GENE0338	-0.2267	0.000186415
GENE0339	-3.6356	0.000198307
GENE0340	-0.4678	9.12714e-05
GENE0341	-0.7416	3.17502e-06
GENE0342	1.6412	0.0124335
GENE0343	0.0276	0.000719646
GENE0344	0.2729	0.0244225
GENE0345	2.3343	0.00424955
GENE0346	-1.3052	0.0385235
GENE0347	-3.1445	0.0152645
GENE0348	-1.8503	0.00326681
GENE0349	-2.9640	0.00879408
GENE0350	-1.9670	0.0466925
GENE0351	-2.6245	2.60035e-06
GENE0352	0.6483	0.0314651
GENE0353	1.1108	0.0104974
GENE0354	-0.1857	0.0224939
GENE0355	0.7504	0.0239735
GENE0356	1.6539	0.00594549
GENE0357	-0.6229	4.18724e-06
GENE0358	1.5457	0.00107934
GENE0359	0.3954	0.000392929
GENE0360	3.2205	0.0488359
GENE0361	2.0817	0.0109464
GENE0362	5.6281	0.020427
GENE0363	-1.7980	0.000527602
GENE0364	2.4403	0.00490051
GENE0365	0.6304	0.018017
GENE0366	0.8204	0.0117382
GENE0367	-0.4777	0.016237
GENE0368	-0.6553	0.00146596
GENE0369	0.0341	0.0012342
GENE0370	-1.4249	0.0011831
GENE0371	-2.5971	0.0231537
GENE0372	-0.8597	0.0438098
GENE0373	3.5112	0.00915706
GENE0374	-1.2514	0.00109215
GENE0375	0.3651	0.0885967
GENE0376	-1.4863	0.0953317
GENE0377	1.0214	0.0187071
GENE0378	-1.4938	0.000123814
GENE0379	-0.4096	0.00171307
GENE0380	0.0851	0.0333605
GENE0381	-2.1003	0.000171694
GENE0382	-3.2749	0.00368432
GENE0383	-1.0463	0.0237708
GENE0384	2.9162	0.0137437
GENE0385	2.7881	0.000327908
GENE0386	1.0332	0.00930138
GENE0387	1.5919	7.54806e-06
GENE0388	3.3104	0.0045341
GENE0389	-0.1612	1.90393e-05
GENE0390	0.8696	0.0263703
GENE0391	-1.5325	0.00670555
GENE0392	-0.4174	0.0923289
GENE0393	2.8154	0.000352892
GENE0394	-1.3997	0.072223
GENE0395	-0.4671	0.00667234
GENE0396	2.1756	0.000582362
GENE0397	-2.0605	0.0389513
GENE0398	-3.0118	0.00664596
GENE0399	1.7826	0.0453335
GENE0400	-0.2588	0.0118677
GENE0401	1.2364	0.0995617
GENE0402	-0.8490	0.008414
GENE0403	0.0553	0.00141873
GENE0404	-1.7793	0.00429893
GENE0405	-0.6019	0.00107207
GENE0406	0.8721	0.0106898
GENE0407	2.1494	0.000297586
GENE0408	0.0716	0.0307565
GENE0409	-0.4424	0.0247353
GENE0410	0.5576	0.0194025
GENE0411	-1.3728	0.0453773
GENE0412	1.7415	1.87814e-07
GENE0413	-0.2109	0.00636535
GENE0414	-2.5550	0.0584015
GENE0415	-1.6255	0.00375854
GENE0416	-1.6355	0.0272406
GENE0417	-0.2691	0.00282517
GENE0418	-0.4892	0.00485856
GENE0419	-0.7177	0.0882389
GENE0420	-1.2171	0.0178327
GENE0421	1.9567	0.0526356
GENE0422	1.7814	0.00208534
GENE0423	-2.3776	0.00100549
GENE0424	-0.4945	0.05792
GENE0425	-2.4832	1.66086e-07
GENE0426	1.9258	0.0719291
GENE0427	0.8830	0.0989743
GENE0428	-0.0325	9.39164e-06
GENE0429	-1.6000	0.0161312
GENE0430	1.1311	0.0231975
GENE0431	-1.1660	0.0666142
GENE0432	2.5643	0.000740712
GENE0433	0.7623	0.00197419
GENE0434	1.1264	0.0102576
GENE0435	1.4629	0.0394493
GENE0436	0.2932	0.0575112
GENE0437	0.5331	0.0147487
GENE0438	0.1908	4.1954e-05
GENE0439	3.3080	0.0045224
GENE0440	-0.0288	7.79896e-10
GENE0441	1.1514	0.0419171
GENE0442	1.8360	6.22817e-05
GENE0443	-1.3127	0.00380738
GENE0444	-1.1280	0.0166662
GENE0445	1.6472	0.00324137
GENE0446	-0.0018	0.000157509
GENE0447	2.8980	0.00219007
GENE0448	-1.0977	0.0106992
GENE0449	0.1162	0.010917
GENE0450	1.2535	0.0914654
GENE0451	-0.0576	0.018772
GENE0452	-0.2969	0.0221202
GENE0453	1.9150	0.0307505
GENE0454	1.9519	0.00608796
GENE0455	0.6213	0.0668301
GENE0456	-0.6057	0.0135813
GENE0457	2.6173	0.00154083
GENE0458	-1.3656	0.0211016
GENE0459	-1.5811	0.0270127
GENE0460	-1.5468	0.0155785
GENE0461	-2.4099	0.0666082
GENE0462	-0.7817	0.00377622
GENE0463	-1.0255	0.0112833
GENE0464	-0.0721	0.00075847
GENE0465	-0.6480	0.0312177
GENE0466	0.3597	0.00846581
GENE0467	0.7131	0.0890743
GENE0468	-3.2565	0.0475665
GENE0469	-0.6393	0.000436044
GENE0470	0.7779	0.0423051
GENE0471	-1.5341	0.031064
GENE0472	-0.3925	0.0859632
GENE0473	0.6297	3.92537e-05
GENE0474	2.9096	0.027509
GENE0475	-0.6216	0.0922151
GENE0476	2.6534	0.00179001
GENE0477	-0.5535	0.0390848
GENE0478	1.8533	0.00427788
GENE0479	0.1625	0.0204936
GENE0480	-0.9321	0.0457477
GENE0481	-1.7562	0.0781719
GENE0482	0.8507	3.92168e-08
GENE0483	0.6890	0.0611323
GENE0484	-3.0876	0.000240134
GENE0485	-1.2542	1.59712e-06
GENE0486	1.4712	0.000833914
GENE0487	-2.9395	0.00277907
GENE0488	2.3160	0.000858176
GENE0489	2.7915	0.00588931
GENE0490	2.5676	3.38734e-05
GENE0491	1.7971	0.00423506
GENE0492	-1.1848	0.0800787
GENE0493	-2.1709	0.0030859
GENE0494	-0.0422	0.00296285
GENE0495	-0.8681	9.61436e-06
GENE0496	-1.5328	0.0819737
GENE0497	0.1028	1.14566e-07
GENE0498	-1.1154	0.0816412
GENE0499	1.1799	0.0535524
